feature_registry_row_id,feature_id,feature_name,feature_description,feature_state,feature_phase,feature_owner,feature_package,feature_crate,feature_test_class,mapped_claim_id,mapped_claim_state,mapped_claim_lifecycle,mapped_claim_tier_target,mapped_claim_status,evidence_bundle_ids,evidence_artifact_ids,evidence_pointers,test_case_ids,test_pointers
FREG-0001,NEXT-FEAT-001,Canonical datatype semantic center,DataTypeSpec and StorageTypeRef define the active canonical semantic datatype center for the next target. Package owner `pkgs/core/tigrbl_core` and crate owner `crates/tigrbl_rs_spec` define the tracked implementation surface.,target,N1,Next-target program,pkgs/core/tigrbl_core,crates/tigrbl_rs_spec,semantic-datatype-core,NEXT-003,target,implemented,tier_2_checkpoint_target,implemented,EBND-0018;EBND-0001,EART-0076;EART-0002,pkgs/core/tigrbl_core/tests/test_semantic_datatype_core.py;.github/workflows/next-target-datatypes.yml,TCASE-0010,pkgs/core/tigrbl_core/tests/test_semantic_datatype_core.py
FREG-0002,NEXT-FEAT-002,ColumnSpec.datatype adoption,ColumnSpec.datatype is the canonical datatype attachment point on the active next-target line. Package owner `pkgs/core/tigrbl_core` and crate owner `crates/tigrbl_rs_spec` define the tracked implementation surface.,target,N3,Next-target program,pkgs/core/tigrbl_core,crates/tigrbl_rs_spec,column-datatype-integration,NEXT-004,target,implemented,tier_2_checkpoint_target,implemented,EBND-0018;EBND-0015,EART-0071;EART-0067,pkgs/core/tigrbl_core/tests/test_column_datatype_integration.py;pkgs/core/tigrbl_base/tests/test_column_datatype_lowering.py,TCASE-0005;TCASE-0003,pkgs/core/tigrbl_core/tests/test_column_datatype_integration.py;pkgs/core/tigrbl_base/tests/test_column_datatype_lowering.py
FREG-0003,NEXT-FEAT-003,TypeAdapter and TypeRegistry contract,"TypeAdapter, BaseTypeAdapter, and TypeRegistry provide the executable datatype contract on the active next-target line. Package owner `pkgs/core/tigrbl_core` and crate owner `crates/tigrbl_rs_spec` define the tracked implementation surface.",target,N1,Next-target program,pkgs/core/tigrbl_core,crates/tigrbl_rs_spec,adapter-registry-contract,NEXT-005,target,implemented,tier_2_checkpoint_target,implemented,EBND-0018;EBND-0007,EART-0070;EART-0038,pkgs/core/tigrbl_core/tests/test_adapter_registry_contract.py;crates/tigrbl_rs_spec/tests/spec_contract.rs,TCASE-0004;TCASE-0001,pkgs/core/tigrbl_core/tests/test_adapter_registry_contract.py;crates/tigrbl_rs_spec/tests/spec_contract.rs
FREG-0004,NEXT-FEAT-004,Engine lowering and registry bridge,"EngineTypeLowerer, EngineRegistry, and EngineDatatypeBridge control engine-owned lowering on the active next-target line. Package owner `pkgs/core/tigrbl_core` and crate owner `crates/tigrbl_rs_spec` define the tracked implementation surface.",target,N2,Next-target program,pkgs/core/tigrbl_core,crates/tigrbl_rs_spec,engine-bridge-lowering,NEXT-006,target,implemented,tier_2_checkpoint_target,implemented,EBND-0018;EBND-0007,EART-0072;EART-0038,pkgs/core/tigrbl_core/tests/test_engine_bridge_lowering.py;crates/tigrbl_rs_spec/tests/spec_contract.rs,TCASE-0006;TCASE-0001,pkgs/core/tigrbl_core/tests/test_engine_bridge_lowering.py;crates/tigrbl_rs_spec/tests/spec_contract.rs
FREG-0005,NEXT-FEAT-005,Reflected type mapper and reverse mapping,ReflectedTypeMapper governs reverse mapping and reflection import behavior on the active next-target line. Package owner `pkgs/core/tigrbl_core` and crate owner `crates/tigrbl_rs_spec` define the tracked implementation surface.,target,N5,Next-target program,pkgs/core/tigrbl_core,crates/tigrbl_rs_spec,reflection-roundtrip-recovery,NEXT-007,target,implemented,tier_2_checkpoint_target,implemented,EBND-0018;EBND-0018,EART-0074;EART-0075,pkgs/core/tigrbl_core/tests/test_reflection_roundtrip_recovery.py;pkgs/core/tigrbl_core/tests/test_schema_roundtrip_recovery.py,TCASE-0008;TCASE-0009,pkgs/core/tigrbl_core/tests/test_reflection_roundtrip_recovery.py;pkgs/core/tigrbl_core/tests/test_schema_roundtrip_recovery.py
FREG-0006,NEXT-FEAT-006,Engine-family datatype alignment,"Relational, dataframe, file, cache, and probabilistic engine families align to the datatype bridge contract on the active next-target line. Package owner `pkgs/engines` and crate owner `crates/tigrbl_rs_engine_inmemory` define the tracked implementation surface.",target,N2,Next-target program,pkgs/engines,crates/tigrbl_rs_engine_inmemory,engine-family-alignment,NEXT-008,target,implemented,tier_2_checkpoint_target,implemented,EBND-0018;EBND-0001,EART-0073;EART-0001,pkgs/core/tigrbl_core/tests/test_engine_family_alignment.py;.github/workflows/evidence-lanes.yml,TCASE-0007,pkgs/core/tigrbl_core/tests/test_engine_family_alignment.py
FREG-0007,NEXT-FEAT-007,Table portability and interoperability rules,Table portability and interoperability rules are specified as governed next-target work on the active line. Package owner `pkgs/core/tigrbl_core` and crate owner `crates/tigrbl_rs_spec` define the tracked implementation surface.,target,N4,Next-target program,pkgs/core/tigrbl_core,crates/tigrbl_rs_spec,table-portability-contract,NEXT-009,target,implemented,tier_2_checkpoint_target,implemented,EBND-0018;EBND-0017,EART-0077;EART-0081,pkgs/core/tigrbl_core/tests/test_table_portability_contract.py;pkgs/core/tigrbl_core/tigrbl_core/_spec/table_spec.py,TCASE-0011,pkgs/core/tigrbl_core/tests/test_table_portability_contract.py
FREG-0008,NEXT-FEAT-008,Reflection-driven schema round-trip recovery,Reflection-driven round-trip schema recovery is defined with best-effort and metadata-preserving modes on the active next-target line. Package owner `pkgs/core/tigrbl_core` and crate owner `crates/tigrbl_rs_spec` define the tracked implementation surface.,target,N5,Next-target program,pkgs/core/tigrbl_core,crates/tigrbl_rs_spec,schema-roundtrip-recovery,NEXT-010,target,implemented,tier_2_checkpoint_target,implemented,EBND-0018;EBND-0018,EART-0075;EART-0074,pkgs/core/tigrbl_core/tests/test_schema_roundtrip_recovery.py;pkgs/core/tigrbl_core/tests/test_reflection_roundtrip_recovery.py,TCASE-0009;TCASE-0008,pkgs/core/tigrbl_core/tests/test_schema_roundtrip_recovery.py;pkgs/core/tigrbl_core/tests/test_reflection_roundtrip_recovery.py
FREG-0009,NEXT-FEAT-009,Canonical op create,Tracks the canonical `create` surface as a governed feature with package/crate ownership and executable evidence pointers.,target,N3,Next-target program,pkgs/core/tigrbl_ops_oltp,crates/tigrbl_rs_ops_oltp,canonical-op-create,NEXT-011,target,implemented,tier_2_checkpoint_target,implemented,EBND-0013;EBND-0004,EART-0066;EART-0017,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py;crates/tigrbl_rs_ops_oltp/src/verbs/create.rs,TCASE-0002,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py
FREG-0010,NEXT-FEAT-010,Canonical op read,Tracks the canonical `read` surface as a governed feature with package/crate ownership and executable evidence pointers.,target,N3,Next-target program,pkgs/core/tigrbl_ops_oltp,crates/tigrbl_rs_ops_oltp,canonical-op-read,NEXT-012,target,implemented,tier_2_checkpoint_target,implemented,EBND-0013;EBND-0004,EART-0066;EART-0022,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py;crates/tigrbl_rs_ops_oltp/src/verbs/read.rs,TCASE-0002,pkgs/core/tigrbl_atoms/tests/test_sys_atoms.py
